Rank,Player,ELO,Games,Wins,Win Rate,Peak,Last
-,Bitto+476,1171.5088838986414,13,1.0,7.7%,1319,-7
-,DanielDandaniel+7434,1171.2822195184365,1,0.0,0.0%,1185,-17
-,PajaroTronador+9221,1171.0200799916686,2,0.0,0.0%,1200,-21
-,byzeke+7830,1169.8519918205775,0,0.0,0.0%,1170,0
-,nyosh8484+1627,1169.6595956570186,2,0.0,0.0%,1200,-8
-,PsychologicalBox+5812,1169.3677833352313,0,0.0,0.0%,1169,0
-,Nickpappa+2149,1168.1929172339921,2,0.0,0.0%,1200,-15
-,FireFox+7079,1167.895196742102,1,0.0,0.0%,1187,-22
-,Excitedteapot+2857,1167.844731790875,0,0.0,0.0%,1168,0
-,Potet+3500,1167.1999472963355,0,0.0,0.0%,1167,0
-,brrrlinguist+929,1166.8396414936356,0,0.0,0.0%,1167,0
-,Lifeye+4414,1165.9518972335286,2,0.0,0.0%,1200,-19
-,Yragael+5413,1165.9086167395274,0,0.0,0.0%,1166,0
-,FalconBird+7701,1165.668093783818,0,0.0,0.0%,1166,0
-,ImEpy+9148,1165.6472880956326,0,0.0,0.0%,1166,0
-,residentevil+6828,1165.622312634962,0,0.0,0.0%,1166,0
-,Drinken+3181,1165.3449843572616,0,0.0,0.0%,1165,0
-,MOMOGA+5135,1165.2673597028772,0,0.0,0.0%,1165,0
-,OUSlaughter+3653,1164.6159204012592,0,0.0,0.0%,1165,0
-,SSR_Mike+6444,1164.1841119183505,0,0.0,0.0%,1164,0
-,StarhardFishrinse+1675,1163.690032450343,0,0.0,0.0%,1164,0
-,creapy01+439,1163.6112057206055,2,0.0,0.0%,1200,-23
-,MinePokemine+7899,1163.3607460785463,8,1.0,12.5%,1245,-4
-,Marcus+9032,1163.332077129871,0,0.0,0.0%,1163,0
-,DevilUnfiltered+380,1162.9847097127779,2,0.0,0.0%,1200,-20
-,Cheetah32+6800,1162.7119727385937,0,0.0,0.0%,1163,0
-,CptAlex+2928,1162.6952069069755,0,0.0,0.0%,1163,0
-,Blepblep+6970,1162.1525778038115,2,0.0,0.0%,1200,-25
-,Extortionator+4951,1161.5296517692577,16,2.0,12.5%,1307,-7
-,RexCow+93848049,1161.4271993806562,0,0.0,0.0%,1161,0
-,Bjoda+2731,1161.0635030398544,1,0.0,0.0%,1168,-10
-,TheRedViper+1596,1160.4544521650723,0,0.0,0.0%,1160,0
-,Lobster+5525,1160.3654696512142,1,0.0,0.0%,1174,-16
-,BadScra+3199,1160.0990125490434,49,9.0,18.4%,1226,-6
-,RaveAnt+1236,1159.7436632696579,3,0.0,0.0%,1200,-8
-,metalnooze+4817,1159.458256311908,0,0.0,0.0%,1159,0
-,kingslime+8836,1159.252164454236,3,0.0,0.0%,1200,-16
-,MangoBlade11+7548,1159.0038023179177,0,0.0,0.0%,1159,0
-,Dandel+3128,1158.5194562654078,59,11.0,18.6%,1163,-4
-,BigHat+3791,1158.424746569222,3,0.0,0.0%,1200,-6
-,Hiyoshi+2879,1158.108245451475,0,0.0,0.0%,1158,0
-,Biggins96+3792,1158.101455222543,0,0.0,0.0%,1158,0
-,Fenetix+9243,1157.5749784850009,4,0.0,0.0%,1200,-10
-,Evenorodds+2809,1156.9472327155686,3,0.0,0.0%,1200,-18
-,Odinius+897,1156.6917411210773,18,3.0,16.7%,1238,-5
-,Baradhas+8593,1156.425152787083,0,0.0,0.0%,1156,0
-,chux88+4717,1156.371024707945,0,0.0,0.0%,1156,0
-,pashatherussian+5688,1155.84301945008,0,0.0,0.0%,1156,0
-,micherin+7972,1155.461643322476,0,0.0,0.0%,1155,0
-,Zeldamon+7946,1155.2659194870057,0,0.0,0.0%,1155,0
-,eef99+8799,1155.101290274542,4,0.0,0.0%,1200,-11
-,FakeSki+4232,1154.9960655372745,13,2.0,15.4%,1173,-4
-,XxD4RK_W0LFxX+9534,1154.4220607055336,3,0.0,0.0%,1190,-5
-,Thanhdat+1146,1154.1413714653615,3,0.0,0.0%,1200,-24
-,deejaythink+9834,1153.4219418160328,31,6.0,19.4%,1315,-6
-,Cloudere+8085,1152.3681336768789,0,0.0,0.0%,1152,0
-,Skumfi+5761,1151.2269443938455,4,0.0,0.0%,1200,-14
-,BugMuff44+9091,1150.8609551016727,0,0.0,0.0%,1151,0
-,Sirius+9323,1150.608368579832,6,0.5,8.3%,1211,-10
-,Rabbi+7,1150.5538225548723,2,0.0,0.0%,1178,-19
-,NaySmith+3702,1150.1723764217445,4,1.0,25.0%,1197,-19
-,mouseinabox+992,1150.08602802477,127,20.0,15.7%,1160,-3
-,sontei5+3678,1149.3319731207584,4,0.0,0.0%,1200,-11
-,FVMLion+1706,1148.045561192673,0,0.0,0.0%,1148,0
-,Riverman+1204,1147.7609751338368,0,0.0,0.0%,1148,0
-,buurn+343,1147.4978600468771,65,9.0,13.8%,1188,-2
-,Harriet+1445,1147.2901670601366,5,1.0,20.0%,1210,-13
